course_code,description,enrollment_requirements,crse_id,class_nbr,term
AAS 2240,"This course will focus on recent African arrivals to the United States, exploring the history of Africans who voluntarily entered the country. We will examine the lives of Africans who came to the US in the late 19th, 20th, and 21st century as students, visitors, missionaries, & temporary residents, as well as the reasons for African migration, settlement patterns and adjustment issues, and immigrant relationships with Americans, black and white.",,047908,,
AAS 2263,"Located in Kenya as a study abroad experience, this course is aimed at providing students with an immersive, interactive and intellectually enriching experience of the Swahili coast. Some of the main themes covered include language, cultures and practices, a critical understanding of the experience of race and racism, slavery and enslavement in the Swahili coast, and the historical cultural context of the region.",,047176,,
AAS 2450,"An interdisciplinary course analyzing the relationship between black bodies and biomedicine both historically and in the present. The course is co-taught by Norm Oliver, M.D. (UVa Department of Family Medicine), and offers political, economic, and post-structuralist lenses with which to interpret the individual and socio/cultural health and disease of African-Americans. Readings range across several disciplines including anthropology, epidemiology/public health, folklore, history, science studies, political science, sociology and literary criticism. Topics will vary and may include: HIV/AIDS; reproductive issues; prison, crime and drugs; and body size/image and obesity; the legacy of the Tuskegee Syphilis Trials. Cross listed as ANTH 2450.",,000092,,
AAS 2500,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.",,046413,13290,1268
AAS 2559,New course in the subject of African and African American Studies,,038531,,
AAS 2600,"This course introduces African American literature through the cultural, historical, and imaginative landscapes of the Black South. We will read canonical texts alongside film and media to trace stories of resistance, survival, and creativity across generations. Each class begins with music (blues, spirituals, hip hop) foregrounding sonic traditions that shape Black Southern expression. Together, we will encounter profound visions of freedom.",,048342,19869,1268
AAS 2605,"In this class, our task is to think through a few big questions: how do Black people¿s bodies show up in contemporary United States culture? What are the histories of these representations? Why do they matter? As this conversation is important for all students, this course is designed to be accessible for undergraduate students at any level.",,048343,,
AAS 2610,"Do we live in hopeful times, or are we stuck in a cycle of broken promises? This course explores how Black writers, thinkers & filmmakers wrestle with that question. Some imagine a future shaped by progress, multiculturalism & creative possibility. Others confront the deep roots of anti-Blackness in American life, asking whether freedom has ever really existed for Black people. We will read fiction, watch films & explore sources that offer powerful, sometimes conflicting, visions of Black life.",,048451,,
AAS 2657,"In this course, we will trace the history of reggae music and explore its influence on the development of Jamaican literature. With readings on Jamaican history, we will consider why so many reggae songs speak about Jah and quote from the Bible. Then, we will explore how Marcus Garvey's teachings led to the rise of Rastafarianism, which in turn seeded ideas of black pride and black humanity into what would become reggae music.",,044899,,
AAS 2660,"The course introduces students to the history of the US over the 20th century through a focus on popular music. We will emphasize the social and cultural contexts for popular music, including Jim Crow segregation in the South, the Cold War, urbanization, the popular music industry, radio, television and other mass communications media, labor and class relations, the modern civil rights movement, the 1960s youth counterculture and its legacy, feminism and gay liberation movements.",,048421,19867,1268
AAS 2710,This seminar examines the historical and contemporary trajectories and the cultural and intellectual contributions of Afro-descendant peoples in Latin America. Students explore the myriad ways in which Afro-Latin Americans have shaped their societies from the colonial period to the present day.,,047913,19285,1262
AAS 2727,,,048344,19870,1268
AAS 2740,"In this course, students will gain an understanding of the richness and variety of African life. While no course of this kind can hope to give more than a broad overview of the continent, students will learn which intellectual tools and fundamental principles are necessary for approaching the study of the hundreds of cultural worlds that exist today on the African continent. This course will draw from ethnographic texts, literary works and film.",,044901,,
AAS 2751,"This course will introduce students to themes in the history of Africa and the African Diaspora through novels. The class encourages students to read several novels as history. The novels will help us understand various themes in African history from the precolonial era to independence, exploring the role of religion, gender, slavery, and colonialism, and relationship with the African Diaspora in the lives of African peoples.",,047906,,
AAS 2760,"In this interdisciplinary survey course on women leaders in urban areas in Africa, we will examine the experiences of women from diverse societies across the Eastern and Southern regions of Africa during the colonial and postcolonial periods. Of particular importance is how women in these societies have faced challenges and how they emerge as leaders in their communities.",,046374,,
AAS 2800,"How are archives built and maintained? How can we use historical archives to tell stories about Black life? Students will investigate the politics of knowledge production, power in the archive, and the limitations of various source materials through close reading, conversations with archivists, and hands-on archive exploration.",,048345,,
AAS 3000,"This course examines women's religious activities, traditions and spirituality in a number of different African contexts. Drawing on ethnographic, historical, literary, and religious studies scholarship, we will explore a variety of themes and debates that have emerged in the study of gender and religion in Africa. Topics will include gendered images of sacred power; the construction of gender through ritual; sexuality and fertility; and women",,040268,,
AAS 3113,"The horror genre provides daring, unflinching lessons. It is a syllabus of our social, political, and racial world. Black horror, in particular, has established itself as a primer on the quest for social justice. What can such a boundary-pushing genre teach us about paths to solidarity and democracy? What can we learn about disrupting racism, misogyny, and anti-Blackness?",,047903,19872,1268
AAS 3157,"Breaking with popular constructions of the region as a timeless tropical paradise, this course will re-define the Caribbean as the birthplace of modern forms of capitalism, globalization, and trans-nationalism. We will survey the founding moments of Caribbean history, including the imposition of slavery, the rise of plantation economies, and the development of global networks of goods and peoples.",,039566,13187,1262
AAS 3158,"What are the origins of anti-Haitian antagonism in the U.S. and why has it persisted? From zombies to AIDS to the sensational headlines animating recent presidential debates, we uncover why Haiti has played a central role in U.S. political discourse, immigration policy, and popular culture for centuries. Explore the connection between history, film, photography, literature, and more!",,047910,,
AAS 3159,"Discover how ideas about race and gender shaped the culture of US empire in the Caribbean. Using music, literature, film, newspapers, poetry, visual art, and more, we investigate a series of hidden ""gender wars"" to uncover how the tropics became a testing site for U.S. domination. This course exposes students to histories of Afro-Caribbean cultural production, politics, resistance practices, performance.",,048336,,
AAS 3160,"This course provides a historical and analytical understanding of the issues involving race, racism, race relations in American sport. This course provides an overview of the sporting events, activism, icons, and time periods that have been shaped by Americas continued struggle to improve race relations.",,047904,20397,1262
AAS 3200,"An intensive examination of African-American social criticism centered upon, but not limited to, the life and thought of Martin Luther King, Jr. and Malcolm X. We will come to grips with the American legacy of racial hatred and oppression systematized in the institutions of antebellum chattel slavery and post-bellum racial segregation and analyze the array of critical responses to, and social struggles against, this legacy.",,039669,,
AAS 3220,"Through selected case studies, we will examine theories of racism and justice, the conceptual history and definitions of environmental racism, the historical development and goals of the environmental justice movement, stakeholder responses to environmental inequities , the impact of environmental justice policies on environmental inequities as well as their impact on subsequent political behavior and the impact of environmental justice policies",,047901,,
AAS 3231,A history of the American South from the arrival of the first English settlers through the end of Reconstruction in 1877. Cross-listed with HIUS 3231.,,000104,,
AAS 3235,"This course examines the plantation as both a historical site and persistent structure of power. We will study the plantation¿s afterlives in literature, history, and media, asking how writers and creatives grappled with its meanings across time. Here, at UVA, where enslaved labor built and sustained the institution, the study of the plantation is not abstract--it is local and lived.",,048346,19873,1268
AAS 3300,"This course will focus on major debates, theories, and methodological approaches in the social sciences that contribute to African American Studies. The course helps students to consider how a multidisciplinary approach enriches efforts to analyze such issues as health disparities, education, and incarceration as they relate to the African Diaspora.",,044916,,
AAS 3310,"This course is dedicated to examining government responses to environmental injustice. Our readings and discussions will use an interdisciplinary social-science perspective to track the trajectory of environmental justice activism and official responses to it in the five states (DE, MD, PA, VA, WVA) the EPA (Environmental Protection Agency) has designated as comprising the important but understudied mid-Atlantic region.",,047900,14217,1268
AAS 3450,"This course will introduce students to the substance of the Constitution, the conditions under which it was developed, what it means, how its meaning has been determined, changed, interpreted and the ways in which it has shaped and has been shaped by ideas about and considerations of race.",,047902,,
AAS 3500,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor.",,039376,13504,1268
AAS 3559,New course in the subject of African and African American Studies.,,038532,,
AAS 3645,"Over the course of the semester, we will explore the genre of the contemporary musical novel in order to better understand why writers and readers are so intrigued by the figure of the musician as a literary trope. Pairing close listening and music theory with close readings of seminal blues, jazz, reggae, mambo, calypso and rock novels set in the US, UK, Jamaica, Trinidad, France and Germany.",,044904,,
AAS 3652,"This course surveys the major political, economic, and cultural developments in black America from the end of the Civil War to the present. Through an engagement with various primary and secondary texts, and multimedia, students examine African Americans' endeavors to build strong families and communities, create socially meaningful art, and establish a political infrastructure capable of bringing into existence a more just and humane world.",,000114,,
AAS 3671,"This course examines the history and legacy of the African American struggle for civil rights in twentieth century America. It provides students with a broad overview of the civil rights movement -- the key issues, significant people and organizations, and pivotal events -- as well as a deeper understanding of its scope, influence, legacy, and lessons for today.",,044915,,
AAS 3710,"This course examines an array of African cultural worlds from the perspective of a variety of different life story genres. We will be addressing biography, autobiography, autofiction, memoirs, diaries, biographical documentary film and various artistic representations. Some critics claim that such genres, concentrating on the 'individual' in Western terms, are not appropriate for representing African experiences of personhood.",,044906,,
AAS 3745,"In this course, we will read a sampling of some exciting new works of fiction from Africa's young and established writers. In particular, we will examine the literary innovations that African writers use to narrate issues affecting the continent such as dictatorship, the lingering effects of colonization, the postcolonial nation state, the traumas of war and geo-politics, religion, gender and sexuality, and migration, among others.",,044907,,
AAS 3749,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others.",,042654,,
AAS 3750,"This course explores themes and issues in the lives of women in Africa. These include women in early African history, culture, and the role of gender in Africa, encounter with Islam and the West, womens search for autonomy, etc. Emphasis is placed, as much as is possible, on the perspectives of women, how they view their history and their ongoing struggle for self-determination.",,047905,19877,1268
AAS 3755,"This course examines the social traditions and political strategies that defined Black women¿s lives in the West since the 1600s. We discover how they theorized, pursued, and experienced liberation during and after slavery. Harnessing groundbreaking scholarship across disciplines, this course offers a broad perspective on Black women¿s subjectivity, theories of freedom, and their importance to modern world history.",,048347,,
AAS 3760,"Using a mix of scholarly and popular-press readings and an examination of digital artifacts, we will analyze the creations and contributions of Black digital culture from the mid-90s to the present. Covering topics including the early Black blogosphere; the creation of niche content sites like BlackPlanet.com; the emergence of Black Twitter; the circulation of memes, and the use second-screening.",Students can't enroll if previously taken AAS 3559 #29 Reading Black Digital Culture,046839,19286,1262
AAS 3770,"How do movies, viral videos, and memes impact the material lives of Black girls? This course offers an introduction to the emergent and growing field of Black Girlhood Studies, especially in relation to media representation and engagement. The course will cover foundational texts about Black girlhood alongside a range of media to explore the ways in which Black girlhood has been constructed and portrayed through these platforms.",,047912,,
AAS 3810,"This course will examine how culture matters for understanding race and social inequality. It will survey social science research about cultural forms such as everyday discourse, styles of dress, music, literature, visual arts, and media as they relate to race and inequality.",,044908,,
AAS 3830,"This course is an introduction to Afrofuturism, exploring race and alienness, race and technology, and race and modernity through global futuristic representations of blackness in TV, film, music, art, and literature.",,044910,,
AAS 3853,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",,044912,13207,1268
AAS 4005,"This course invites students to explore the complex, multilayered history and evolving interpretation of UVA's Morven Farm, with a focus on the site's 19th century enslaved and descendant communities. The course combines lectures, research, and seminar-style discussions with field trips to area archives and historic sites. Does not count toward 4000-level seminar requirement.",,047021,,
AAS 4070,Students in the Distinguished Majors Program should enroll in this course for their first semester of thesis research.,,000121,11344,1268
AAS 4080,Second-semester DMP students should enroll in this course to complete their theses.,,000122,12225,1262
AAS 4109,"Course examines the crucial relationship between the Civil Rights Movement and mass media from 1950s through early 1970s, looking at a variety of media forms: Hollywood cinema, network television, mainstream newspapers, photojournalism, the black press, and news as primary documents that can tell us something about American race relations during this period and how the nation responded to challenges posed by a powerful social change movement.",,042718,,
AAS 4500,"Reading, class discussion, and research on a special topic in African-American and African Studies culminatiing in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others.",,000119,,
AAS 4501,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar.",,040703,,
AAS 4559,New course in the subject of African and African American Studies.,,038533,,
AAS 4570,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others.",,000120,19879,1268
AAS 4720,"This course provides a high-level introduction to the core authors, thinkers, texts, and tenets of a U.S.-based Black feminist intellectual tradition. It is intended to provide a substantial orientation to Black feminist scholarship and to prepare students for further engagement with Black feminist concepts and principles in academic, social, and cultural settings.",,048348,,
AAS 4725,"How does ""Africa"" shape the contours of queerness? We will explore the complex iterations of afro-queer subjectivities in the the circum-Atlantic world. Importantly, we will examine the extent to which the afterlife of slavery in the Americas intersect with the state of postcoloniality in Africa, and how blackness and queerness get conditioned at these intersections. By providing an introduction to various artists, activists, and intellectuals in both Africa and its myriad diasporas, this interdisciplinary seminar will thus examine what it means to be both black and queer historically, spatially, and contemporarily.",,045366,,
AAS 4749,"This course situates and sheds light on various aspects of Black history and culture in Albemarle County and the surrounding regions through the lens and example of River View Farm and those who lived there, farmed there, and led local and regional communities. Part of the work of this class involves actively working with the Ivy Creek Foundation to support their mission of providing education about local Black histories to the public.",,047898,,
AAS 4993,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages.",,000116,13318,1268
AAS 5559,New course in the subject of African and African American Studies.,,038618,,
AAS 7000,"This is an introductory course that will survey selected recent and classic texts in the interdisciplinary fields of African American, African, and Caribbean Studies. By the end of the course, students will be prepared to identify and understand major themes that have shaped the development of the discipline of Africana Studies.",,046186,13604,1262
AAS 7500,"Topics to be announced prior to each semester, relating to Africana Studies.",,048295,,
AAS 8500,"Topics to be announced in advance of each semester, related to Africana Studies.",,048296,,
AAS 9010,"Graduate readings and research related to Africana Studies on a particular topic or historical period, equivalent to a graduate-level colloquium course.",,048292,,
AAS 9030,"Graduate readings and research related to Africana Studies on a particular topic or historical period, equivalent to a graduate-level colloquium course.",,048293,,
AAS 9710,This is a supervised research course without formal classroom instruction.,,046489,12671,1268
ACCT 2010,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities.",,000175,,
ACCT 2020,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized. Prerequisite: ACCT 2010.",,000176,,
ACCT 3010,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop an accounting model for capturing financial data, and finishes with the problems of measuring and reporting incomes, assets, liabilities, and equities. The focus is on external reporting with core financial statements.",,045930,20566,1262
ACCT 3020,"Focuses on managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized. Recommended prerequisite: ACCT 3010.",,045931,,
ACCT 3110,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve. Prerequisite: ACCT 2020.",,000185,,
ACCT 3120,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes. Prerequisite: ACCT 3110.",,000186,,
ACCT 3140,Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance. Prerequisite: ACCT 2020.,,000187,,
ACCT 4450,An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns. Prerequisite: ACCT 2020 or instructor permission.,,000189,,
ACCT 4700,"Provides a comprehensive overview of accounting principles, terminology, concepts, and standards unique to federal accounting to include an analysis and discussion of the laws, regulations, rule-setting organizations, and policies leading to current day federal accounting and reporting practices. Requisite: ACCT 2020",,044156,,
ACCT 5110,"Provides an intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and underlying processes behind principles. Recommended prerequisite: ACCT 3010.",,045932,20567,1262
ACCT 5120,"Continuation of ACCT 5110. Provides an in-depth study of accounting for the equities of a firm's investors and creators. Covers special problem areas in financial accounting including accounting for leases, pensions, income taxes, and shareholder's equity considerations. Recommended prerequisite: ACCT 5110.",,045933,20568,1262
ACCT 5140,"Addresses analysis of cost behavior and volume profit relationships, responsibility accounting and reporting flexible budgets, and the use of standard costs to guide and control performance. The focus is on internal reporting for managerial requirements. Recommended prerequisite: ACCT 3010.",,045934,21744,1262
ACCT 5200,"Explores how accounting information systems are designed and implemented to meet organizational accounting and decision-making needs. Analyze how capabilities and limitations inherent to current technology may shape organizational operations and strategy. Topics include firm value of AIS, block chain, artificial intelligence, mapping business processes, database design and queries, internal controls, mitigating information risks, and more.",,047272,20570,1262
ACCT 5210,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports. Recommended prerequisite: ACCT 5120.",,000190,,
ACCT 5250,"Builds on the concepts and practice examples from introductory auditing to provide students with an in-depth understanding of professional standards, the audit process, advanced audit techniques, and the auditor's role in ensuring that publicly issued financial statements are fairly presented. Assigns complex auditing cases for which students form audit opinions with appropriate rationale and documentation. Recommended prerequisite: ACCT 5120.",,000191,21745,1262
ACCT 5310,"Studies accounting and financial reporting for partnerships, business enterprise segments, home office/branch office, foreign transactions and translation, business combinations, and other intercorporate investments and consolidated statements. Recommended prerequisite: ACCT 5120",,000192,20571,1262
ACCT 5330,Financial accounting for governmental and non-profit organizations at the state and local levels. Studies the theory and techniques of accounting and reporting for various funds and groups of accounts. Recommended prerequisite: ACCT 5120.,,000193,,
ACCT 5410,"Focuses on the principles and methodology of fraud detection and deterrence. Examines how and why occupational fraud is committed, how fraudulent conduct can be deterred, and how allegations of fraud should be investigated and resolved. Recommended prerequisite: ACCT 5120",,040496,20572,1262
ACCT 5450,"Analyzes basic federal income tax laws and their application to individuals, corporations, and other entities. Employs a study of scenarios and problems covering personal and business tax situations for tax avoidance results. Assigns several cases for which the student prepares illustrative tax returns. Recommended prerequisite: ACCT 3010.",,045935,20574,1262
ACCT 5460,"Analyzes the federal income tax laws and their application to corporations, shareholders, partnerships, partners, estates, and gift transactions. Recommended prerequisite: ACCT 5120.",,000194,20575,1262
ACCT 5470,"Analyzes the various forensic accounting techniques and investigative strategies used in forensic examinations; covers uses of accounting information systems in fraud detection, the nature of financial statement fraud, the framework for detecting fraudulent financial reporting, and the importance of internal controls in fraud prevention. Recommended prerequisites: ACCT 5110 and 5200.",,044657,,
ACCT 5480,Provides in-depth understanding of corporate governance and ethics related to the public accounting profession. Explores different ethical decision-making models and apply formal corporate governance frameworks to resolve ethical conflicts as faced by accountants. Examines the challenges to ethical decision-making faced by internal accountants & auditors and learn to evaluate & resolve ethical conflict.,,045867,,
ACCT 5490,"Provides essential knowledge needed to make sound strategic decisions related to investments in cybersecurity. Explores methods used to raise general security awareness, review current industry practices, and develop knowledge needed to adapt policies to protect and safeguard proprietary information. Recommended prerequisite: ACCT 5200.",,045868,,
ACCT 5700,"Provides a comprehensive overview of accounting principles, terminology, concepts, and standards unique to federal accounting to include an analysis and discussion of the laws, regulations, rule-setting organizations, and policies leading to current day federal accounting and reporting practices. Recommended prerequisite: ACCT 3010.",,045936,,
ACCT 5710,"Covers key legal areas for businesses relevant to the CPA Exam, such as the American legal system, Constitutional law, torts, contracts, sales, commercial paper, agency law, employment law, partnerships, corporations, hybrid entities, business regulation, property law, and bankruptcy law. Note: CPA exam candidates should verify with intended jurisdiction how it satisfies exam requirements.",,046180,,
AIRS  100,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)  Prerequisite: Enrollment in Air Force ROTC.",,000298,19031,1268
AIRS 1100,"This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills.",Students must be currently enrolled in AIRS 100,000289,19026,1268
AIRS 1200,"This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills.",Students must be currently enrolled in AIRS 100,000290,18824,1262
AIRS 2100,"This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills",Students must be currently enrolled in AIRS 100,000292,19028,1268
AIRS 2200,"This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills.",Students must be currently enrolled in AIRS 100,000293,18875,1262
AIRS 3100,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)",Students must be currently enrolled in AIRS 100,000294,19032,1268
AIRS 3200,"Focuses on the study of leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership, core values, and military ethics as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)",Students must be currently enrolled in AIRS 100,000295,18827,1262
AIRS 4100,"Examines the national security process, constitutional provisions, advanced leadership ethics, joint operations, and Air Force doctrine. Topics include the military as a profession, officership, civilian control of the military, and current issues affecting the military. Emphasizes refining communication skills through cadet briefings. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)",Students must be currently enrolled in AIRS 100,000296,19030,1268
AIRS 4200,"Examines military law, regional studies, advanced leadership ethics, and Air Force doctrine. Topics include the military as a profession, officership, preparation for active duty, and current issues affecting the military. Emphasizes refining communication skills through cadet presentations. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)",Students must be currently enrolled in AIRS 100,000297,18828,1262
ALAR 5010,"Introduction to design concepts from the scale of the city to the body, developing an understanding of design process and compositional strategies in architecture and landscape architecture. Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair.",,000304,,
ALAR 5020,"Introduction to both digital and manual representational techniques, developing the precision and facility necessary for visual communication. Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair.",,000305,,
ALAR 5030,Introduction to the analysis of the physical environment at the intersection of historical understanding and contemporary imagination. Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair.,,000306,,
ALAR 5201,The course aims at understanding the resilience of the physical and material of structure of Venice from the scale of the lagoon to the historical & contemporary construction methods used in creating & preserving the buildings and landscape. The course will involve workshops & seminars as well as many field trips. Guest lecturers will provide expertise on a range of materials & practices. Students will develop a research topic related to studio.,,045864,,
ALAR 5203,"This course examines the construction of the buildings, urban spaces, and site conditions of Venice and the Veneto from the origins of the city to the present-day. The course will involve workshops and seminars, as well as many field trips. Guest lecturers will provide expertise on a range of materials and practices. Students will keep a sketchbook to develop their studies through drawings and reflective notes.",,047309,10287,1268
ALAR 5401,"This course will focus on the analysis of urban space and flows, with a focus on the development of representational techniques that investigate the relationship between building/landscape form and urban life. The course will engage a range of media, from hand drawing through digital mapping, photography and film. The students will be expected to develop a capacity to diagram both static and dynamic conditions that structure the urban experience.",,045863,,
ALAR 5403,"This course explores the relationship of Venice to its lagoon and the mainland through the mapping and analysis of the urban and ecological systems. The research will inform the studio and independent research, and will vary in its specific focus in accordance with each year's program research goals.",,047308,10286,1268
ALAR 5500,Topical offerings in architecture and landscape architecture.,,041456,,
ALAR 8010,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two-part comprehensive design sequence. Some studios sections for this course may have an embedded travel. Prerequisite: ARCH 7020 or LAR 7020.",Graduate in Architecture or Landscape Architecture or Urban Design,042199,10126,1268
ALAR 8020,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Typical projects include brownfields, urban landscape infrastructure, and sustainable designs. Some studios sections for this course may have an embedded travel. Prerequisite: ALAR 8010",Graduate in Architecture and Landscape Architecture,000310,10032,1262
ALAR 8030,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ALAR 7010 and ALAR 8010.",,043382,,
